Feature,Importance
TotalCharges,0.1767204692912659
MonthlyCharges,0.17361453817231276
tenure,0.15924758253859972
Contract,0.09031558233981707
OnlineSecurity,0.05255737202586171
PaymentMethod,0.050417902595449454
TechSupport,0.044993679879155646
OnlineBackup,0.028471725458629884
InternetService,0.027554694329483896
gender,0.026692380058490246
PaperlessBilling,0.02503851647333991
MultipleLines,0.02181072474653028
Partner,0.021685196051519782
DeviceProtection,0.02134618378100996
Dependents,0.02028063840464753
SeniorCitizen,0.02005433517208634
StreamingMovies,0.016907208608105784
StreamingTV,0.016616568895433247
PhoneService,0.005674701178260983
